Feedback Z	2020-06-10 09:26:35	-60.083
Current	2020-06-10 09:26:35	0.104
Feedback Z	2020-06-16 20:52:48	14.867
Current	2020-06-16 20:52:49	0.012
Feedback Z	2020-06-16 20:53:48	14.071
Current	2020-06-16 20:53:49	0.010
Feedback Z	2020-06-16 20:54:49	15.675
Current	2020-06-16 20:54:49	0.001
Feedback Z	2020-06-16 20:55:49	14.823
Current	2020-06-16 20:55:49	0.049
Feedback Z	2020-06-16 20:56:49	14.769
Current	2020-06-16 20:56:49	0.050
Feedback Z	2020-06-16 20:57:49	14.733
Current	2020-06-16 20:57:50	0.051
Feedback Z	2020-06-16 20:58:49	16.209
Current	2020-06-16 20:58:50	0.069
Feedback Z	2020-06-16 20:59:49	15.034
Current	2020-06-16 20:59:50	0.051
Feedback Z	2020-06-16 21:00:49	14.265
Current	2020-06-16 21:00:50	0.049
Feedback Z	2020-06-16 21:01:49	11.096
Current	2020-06-16 21:01:50	0.019
Feedback Z	2020-06-16 21:02:49	12.047
Current	2020-06-16 21:02:50	0.023
Feedback Z	2020-06-16 21:03:49	11.838
Current	2020-06-16 21:03:50	0.000
Feedback Z	2020-06-16 21:04:50	11.632
Current	2020-06-16 21:04:50	0.021
Feedback Z	2020-06-16 21:05:50	12.004
Current	2020-06-16 21:05:51	0.000
Feedback Z	2020-06-16 21:06:50	11.557
Current	2020-06-16 21:06:51	0.022
Feedback Z	2020-06-16 21:07:50	11.531
Current	2020-06-16 21:07:51	0.018
Feedback Z	2020-06-16 21:08:50	28.664
Current	2020-06-16 21:08:51	0.010
Feedback Z	2020-06-16 21:09:50	29.910
Current	2020-06-16 21:09:51	0.012
Feedback Z	2020-06-16 21:10:50	12.647
Current	2020-06-16 21:10:51	0.050
Feedback Z	2020-06-16 21:11:50	11.857
Current	2020-06-16 21:11:51	0.008
Feedback Z	2020-06-16 21:12:50	13.514
Current	2020-06-16 21:12:51	0.010
Feedback Z	2020-06-16 21:13:51	12.308
Current	2020-06-16 21:13:52	0.011
Feedback Z	2020-06-16 21:14:51	12.537
Current	2020-06-16 21:14:52	0.011
Feedback Z	2020-06-16 21:15:51	12.682
Current	2020-06-16 21:15:52	0.010
Feedback Z	2020-06-16 21:16:51	11.609
Current	2020-06-16 21:16:52	0.008
Feedback Z	2020-06-16 21:17:51	11.817
Current	2020-06-16 21:17:52	0.007
Feedback Z	2020-06-16 21:18:51	257.527
Current	2020-06-16 21:18:52	0.004
Feedback Z	2020-06-16 21:19:51	1.020
Current	2020-06-16 21:19:52	0.011
Feedback Z	2020-06-16 21:20:51	2.940
Current	2020-06-16 21:20:52	0.011
Feedback Z	2020-06-16 21:21:52	1.719
Current	2020-06-16 21:21:53	0.011
Feedback Z	2020-06-16 21:22:52	1.562
Current	2020-06-16 21:22:53	0.010
Feedback Z	2020-06-16 21:23:52	1.784
Current	2020-06-16 21:23:53	0.008
Feedback Z	2020-06-16 21:24:52	2.214
Current	2020-06-16 21:24:53	0.008
Feedback Z	2020-06-16 21:25:52	2.667
Current	2020-06-16 21:25:53	0.010
Feedback Z	2020-06-16 21:26:52	2.997
Current	2020-06-16 21:26:53	0.011
Feedback Z	2020-06-16 21:27:53	0.894
Current	2020-06-16 21:27:53	0.009
Feedback Z	2020-06-16 21:28:53	1.151
Current	2020-06-16 21:28:54	0.009
Feedback Z	2020-06-16 21:29:54	-0.050
Current	2020-06-16 21:29:54	0.009
Feedback Z	2020-06-16 21:30:54	0.351
Current	2020-06-16 21:30:54	0.013
Feedback Z	2020-06-16 21:31:54	0.805
Current	2020-06-16 21:31:54	0.009
Feedback Z	2020-06-16 21:32:54	-0.471
Current	2020-06-16 21:32:54	0.010
Feedback Z	2020-06-16 21:33:54	-0.640
Current	2020-06-16 21:33:54	0.009
Feedback Z	2020-06-16 21:34:54	-0.501
Current	2020-06-16 21:34:55	0.011
Feedback Z	2020-06-16 21:35:54	-0.641
Current	2020-06-16 21:35:55	0.010
Feedback Z	2020-06-16 21:36:54	-0.899
Current	2020-06-16 21:36:55	0.011
Feedback Z	2020-06-16 21:37:54	-0.474
Current	2020-06-16 21:37:55	0.007
Feedback Z	2020-06-16 21:38:55	-0.437
Current	2020-06-16 21:38:55	0.010
Feedback Z	2020-06-16 21:39:55	-0.553
Current	2020-06-16 21:39:55	0.011
Feedback Z	2020-06-16 21:40:55	-0.604
Current	2020-06-16 21:40:56	0.012
